date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:20	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
17:02:21	36543/36543	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:46%20GMT	https://preview.colorlib.com/theme/yogabest/	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/index.html	(from )
17:02:28	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/HP/OneDrive/Desktop/radiant34/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/yogabest/)
17:02:30	3336/3336	---M-Z	200	added ('OK')	text/css	etag:%22d08-5c1f9fed62367-gzip%22	https://preview.colorlib.com/theme/yogabest/css/owl.carousel.min.css	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/yogabest/)
17:02:34	89/89	---M-Z	200	added ('OK')	text/css	etag:%2259-5c1f9fed62367-gzip%22	https://preview.colorlib.com/theme/yogabest/css/owl.theme.default.min.css	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/yogabest/)
17:02:37	4212/4212	---M-Z	200	added ('OK')	text/css	etag:%221074-5c1f9fed62367-gzip%22	https://preview.colorlib.com/theme/yogabest/css/magnific-popup.css	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/magnific-popup.css	(from https://preview.colorlib.com/theme/yogabest/)
17:02:41	82521/82521	---M-Z	200	added ('OK')	text/css	etag:%2214259-5c1f9fed63307-gzip%22	https://preview.colorlib.com/theme/yogabest/css/style.css	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/style.css	(from https://preview.colorlib.com/theme/yogabest/)
17:02:42	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2030%20Jan%202024%2011:32:42%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/cdn-cgi/zaraz/s.7d0d9.delayed	(from https://preview.colorlib.com/theme/yogabest/)
17:02:44	36543/36543	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:46%20GMT	https://preview.colorlib.com/theme/yogabest/index.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/index-2.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:44	20249/20249	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:47%20GMT	https://preview.colorlib.com/theme/yogabest/about.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/about.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:49	15830/15830	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:49%20GMT	https://preview.colorlib.com/theme/yogabest/trainer.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/trainer.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:49	13933/13933	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:50%20GMT	https://preview.colorlib.com/theme/yogabest/classes.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/classes.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:51	15460/15460	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:48%20GMT	https://preview.colorlib.com/theme/yogabest/schedule.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/schedule.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:52	14836/14836	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:46%20GMT	https://preview.colorlib.com/theme/yogabest/blog.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/blog.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:54	13385/13385	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:48%20GMT	https://preview.colorlib.com/theme/yogabest/contact.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/contact.html	(from https://preview.colorlib.com/theme/yogabest/)
17:02:58	120807/120807	---M--	200	added ('OK')	image/jpeg	etag:%221d7e7-5bcddf848b4ff%22	https://preview.colorlib.com/theme/yogabest/images/about-2.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/about-2.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:02:59	279723/279723	---M--	200	added ('OK')	image/jpeg	etag:%22444ab-5bcddf767eada%22	https://preview.colorlib.com/theme/yogabest/images/about.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/about.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:03:00	362216/362216	---M--	200	added ('OK')	image/jpeg	etag:%22586e8-5bcddf657a49d%22	https://preview.colorlib.com/theme/yogabest/images/bg_1.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/bg_1.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:03:10	162094/162094	---M--	200	added ('OK')	image/jpeg	etag:%222792e-5bcddf66b5b6d%22	https://preview.colorlib.com/theme/yogabest/images/bg_2.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/bg_2.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:03:11	119422/119422	---M--	200	added ('OK')	image/jpeg	etag:%221d27e-5bcddf882cfce%22	https://preview.colorlib.com/theme/yogabest/images/classes-1.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/classes-1.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:03:12	218769/218769	---M--	200	added ('OK')	image/jpeg	etag:%2235691-5bcddf66e784a%22	https://preview.colorlib.com/theme/yogabest/images/bg_3.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/bg_3.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:03:17	104369/104369	---M--	200	added ('OK')	image/jpeg	etag:%22197b1-5bcddf8352d0f%22	https://preview.colorlib.com/theme/yogabest/images/classes-3.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/classes-3.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:03:18	73813/73813	---M--	200	added ('OK')	image/jpeg	etag:%2212055-5bcddf85ac5f0%22	https://preview.colorlib.com/theme/yogabest/images/classes-2.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/classes-2.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:04:18	104030/104030	---M--	200	added ('OK')	image/jpeg	etag:%221965e-5bcddf70cdaa6%22	https://preview.colorlib.com/theme/yogabest/images/classes-6.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/classes-6.jpg	(from https://preview.colorlib.com/theme/yogabest/)
